Measurement,Temp0203,Temp0304,Temp0405,TempAvg,Sun0203,Sun0304,Sun0405,SunAvg,Rain0203,Rain0304,Rain0405,RainAvg
Oct.1,18.4,16,14,17.62,3.7,5.1,6.9,6.04,71.4,16.6,0.9,31.58
Oct.2,20.2,16.2,14.9,18.72,5.2,9.9,7.6,7.23,27.4,8,54.9,35.61
Oct.3,17.3,17.4,16.3,19.45,6.5,9.2,7.4,7.22,19.3,26.4,36.7,32.12
Nov.1,17.1,17.1,17.9,20.45,6.3,9.7,5.6,7.34,8.6,3.7,62.1,32.72
Nov.2,21.3,17.7,16.5,21.2,7.2,6.2,6,8.18,19,124.4,4.3,37.96
Nov.3,21.2,20.9,20.2,21.97,7.8,8.2,6.8,8.68,61.4,23.6,0.7,31.38
Dec.1,20.1,19,21.4,22.79,4.4,8.6,7.7,8.45,55.1,26.9,1,26.76
Dec.2,21.5,19.8,20.1,22.92,8.6,9.3,9.4,8.58,49.8,12.9,11,30.06
Dec.3,20.8,20.1,21.7,23.26,6.5,9.1,9.6,8.65,154.1,10,47.9,41.78
Jan.1,22.1,23.3,26.5,22.5,9.6,9.4,7.7,8.93,45.9,26.1,0.3,39.17
Jan.2,22.8,21.5,23.2,22.31,11.1,7.8,10.5,8.85,13,31,1.2,40.52
Jan.3,23.9,24.6,22.4,22.61,10.6,8.7,9.1,8.21,1.4,45.1,3.4,39.06
Feb.1,25.6,23.1,21.9,22.21,5.2,10.1,6.6,7.81,83.2,3.2,4.4,52.86
Feb.2,20.9,21.4,23.4,21.09,8,9.2,8.9,7.6,139.5,24,14.9,64.93
Feb.3,21.9,20,24.3,19.86,6.1,9.2,6.8,7.25,92.3,21,21.3,31.46
Mar.1,24.9,21.4,22,18.41,5.6,7.9,9.5,7.5,0.7,22,0,37.15
Mar.2,20.3,20.3,21.2,17.46,6.8,7.3,5.2,6.94,44.3,5.5,50.3,36.69
Mar.3,18.2,21.6,19.3,16.68,6.4,8.3,5.2,6.85,12.8,0,43.2,30.73
Apr.1,16.5,23.4,18.3,14.82,7.3,5.2,4.6,6.42,4.2,38,68.2,33.52
Apr.2,15.6,20.2,17.1,14.36,6.9,7.3,5.4,6.15,8.1,53.4,220.8,51.71
Apr.3,16.4,15.1,13.4,12.94,1.9,6.3,7.9,5.92,56,90.4,0,29.04
