ID,Row,Column,Easting,Northing,RowCol,Sand,Silt,Clay,SoilpH,SoilTOC,SoilTN,SoilP,SoilK,CropDens,Weeds,Disease,SPAD,GrainProt,LeafN,FLN,EM38F425,EM38B425,EM38F520,EM38B520
1,1,1,592050.943,4271104.143,1a,18.94,39.55,41.5,6.02,0.994,0.079,6.18,235.2,2,3,2,37.5,12.006,3.586,3.267,68,79,78,83
2,1,2,592111.943,4271104.143,1b,19.36,36.99,43.65,5.98,0.927,0.077,3.61,189.4,2,4,2,39.4,13.1776,3.138,3.562,77,90,82,87
3,1,3,592172.943,4271104.143,1c,24.38,37.47,38.14,5.88,1.003,0.082,4.97,171.7,3,4,3,38.2,13.3922,2.735,3.367,55,64,66,71
4,1,4,592233.943,4271104.143,1d,24.16,38.72,37.12,5.74,1.104,0.079,3.75,159.9,3,4,2,37.6,13.2414,3.003,3.77,66,74,67,75
5,1,5,592294.943,4271104.143,1e,23.33,37.76,38.91,5.95,1.192,0.094,3.06,158.4,3,5,2,35.7,12.9746,3.132,3.455,64,76,73,80
6,1,6,592355.943,4271104.143,1f,19.68,39.87,40.45,5.84,1.202,0.092,2.48,173.2,3,4,2,35.4,13.0674,3.197,3.344,64,78,76,87
7,1,7,592416.943,4271104.143,1g,24,38.88,37.12,5.75,1.271,0.101,2.82,162.8,2,4,2,34.5,13.6822,2.877,3.533,NA,NA,64,NA
8,2,1,592050.943,4271043.143,2a,21.54,34.75,43.71,5.98,1.238,0.099,4.16,187.9,2,3,1,39,13.2182,3.113,3.473,74,84,79,84
9,2,2,592111.943,4271043.143,2b,24,31.9,44.1,5.84,1.244,0.093,5.02,164.3,2,4,1,39.8,13.7228,3.427,3.812,69,75,67,73
10,2,3,592172.943,4271043.143,2c,27.3,35.74,36.96,5.96,1.064,0.084,4.35,165.8,3,5,2,37.8,13.8678,3.325,3.451,57,66,64,73
11,2,4,592233.943,4271043.143,2d,26.24,37.34,36.42,5.65,1.145,0.068,7.78,165.8,3,5,1,41.7,13.0442,3.486,3.485,55,60,64,68
12,2,5,592294.943,4271043.143,2e,27.07,35.94,36.99,5.77,0.978,0.079,4.97,176.1,4,4,2,36.4,13.5314,3.446,3.313,53,64,61,69
13,2,6,592355.943,4271043.143,2f,26.78,37.63,35.58,5.56,1.267,0.104,7.69,156.9,3,2,1,39.7,13.9374,3.35,3.976,47,57,62,70
14,2,7,592416.943,4271043.143,2g,26.56,36.86,36.58,5.61,1.449,0.118,5.59,190.9,2,4,1,36.5,11.8378,3.119,3.208,NA,NA,68,72
15,3,1,592050.943,4270982.143,3a,22.18,37.6,40.22,6.09,1.18,0.096,5.55,185,4,3,1,36.9,11.7276,3.368,3.295,47,62,62,68
16,3,2,592111.943,4270982.143,3b,19.3,40.19,40.51,5.98,1.121,0.076,8.56,183.5,3,4,1,39.2,12.818,3.273,3.71,57,63,60,64
17,3,3,592172.943,4270982.143,3c,20.77,36.61,42.62,6.02,0.944,0.066,5.91,198.3,3,3,2,39.6,12.2032,3.434,3.433,70,82,79,88
18,3,4,592233.943,4270982.143,3d,22.53,34.85,42.62,6.09,0.69,0.075,5.5,189.4,2,2,2,38.2,13.0094,3.353,3.582,74,83,82,89
19,3,5,592294.943,4270982.143,3e,20.67,36.61,42.72,6.04,1.109,0.085,4.35,192.4,3,1,2,40.2,13.1138,3.425,3.583,74,86,79,87
20,3,6,592355.943,4270982.143,3f,22.5,35.14,42.37,6.12,1.084,0.083,3.67,201.2,2,1,2,41.3,13.2878,3.341,3.517,73,86,86,94
21,3,7,592416.943,4270982.143,3g,21.73,35.58,42.69,5.98,1.04,0.084,4.15,196.8,2,3,2,40.1,12.5222,3.428,3.357,NA,NA,78,86
22,4,1,592050.943,4270921.143,4a,19.74,38.34,41.92,5.89,1.145,0.063,5.5,192.4,3,4,2,41.1,12.6962,3.258,3.364,74,83,76,80
23,4,2,592111.943,4270921.143,4b,21.79,37.38,40.83,5.74,1.256,0.063,6.09,187.9,3,3,2,40.9,13.7344,3.046,3.809,63,78,64,69
