Easting,Northing,Yield,Moisture,Time
592070.7818,4270381.445,1473.954864,10.5,838233997
592072.6981,4270381.467,1375.047909,10.5,838233999
592073.7434,4270381.479,6152.468347,10.3,838234000
592074.7887,4270381.491,5839.191501,10.1,838234001
592075.834,4270381.503,5412.326467,10.4,838234002
592076.7922,4270381.514,6169.94695,10.3,838234003
592077.8375,4270381.526,6110.691172,10.4,838234004
592078.8828,4270381.538,6902.262105,10.7,838234005
592079.9281,4270381.551,6560.04911,10.7,838234006
592080.8863,4270381.562,6551.488426,10.5,838234007
592081.9316,4270381.574,6882.841434,10.5,838234008
592082.9769,4270381.586,6499.16953,10.5,838234009
592084.0222,4270381.598,6464.290266,10.5,838234010
592085.0675,4270381.61,6968.136499,10.3,838234011
592086.1128,4270381.622,6160.716023,10.2,838234012
592087.1581,4270381.634,7413.889596,10.4,838234013
592088.2034,4270381.646,7104.850718,10.5,838234014
592089.2487,4270381.658,6630.342255,10.7,838234015
592090.294,4270381.67,6907.786124,10.7,838234016
592091.3393,4270381.682,7014.053904,10.5,838234017
592092.3846,4270381.694,7048.102709,10.5,838234018
592093.4299,4270381.706,7442.295303,10.4,838234019
592094.4752,4270381.718,7105.89057,10.2,838234020
592095.5205,4270381.73,7251.539566,10.3,838234021
592096.5658,4270381.742,6879.862299,10.4,838234022
592097.6111,4270381.754,6615.093209,10.6,838234023
592098.6564,4270381.766,7423.039023,10.7,838234024
592099.7017,4270381.778,6919.110364,10.7,838234025
592100.8341,4270381.791,6805.867968,10.7,838234026
592101.8794,4270381.803,6942.354855,10.4,838234027
592102.9247,4270381.815,6913.949148,10.4,838234028
592103.97,4270381.827,7202.630406,10.4,838234029
592105.0153,4270381.839,6566.264117,10.3,838234030
592106.1477,4270381.852,6529.452302,10.5,838234031
592107.193,4270381.864,6942.941136,10.6,838234032
592108.2383,4270381.876,6636.531084,10.7,838234033
592109.2836,4270381.888,6839.840687,10.7,838234034
592110.416,4270381.901,6480.296081,10.7,838234035
592111.5484,4270381.914,6593.795846,10.7,838234036
592112.5937,4270381.926,6287.353139,10.6,838234037
592113.7261,4270381.939,6617.393564,10.4,838234038
592114.8585,4270381.953,6182.596872,10.4,838234039
592115.9909,4270381.966,6651.898429,10.5,838234040
592117.1233,4270381.979,6664.057605,10.7,838234041
592118.1686,4270381.991,6647.843353,10.7,838234042
592119.301,4270382.004,7034.503938,10.8,838234043
592120.3463,4270382.016,7015.3664,10.7,838234044
592121.4787,4270382.029,6523.534087,10.7,838234045
592122.6111,4270382.042,6840.150798,10.8,838234046
592123.6564,4270382.054,7096.43766,10.7,838234047
592124.7888,4270382.067,6961.318893,10.7,838234048
592125.9212,4270382.08,7120.616808,10.6,838234049
592126.9665,4270382.092,6887.952277,10.6,838234050
592128.0989,4270382.105,7290.395784,10.6,838234051
592129.2313,4270382.118,6830.654657,10.5,838234052
592130.3637,4270382.131,7163.661138,10.4,838234053
