Easting,Northing,Yield
592027.1875,4271003.5,811
592029.1875,4271003.5,985
592030.5,4271003.5,1635
592031.8125,4271003.5,1510
592033.8125,4271003,1531
592035.1875,4271003,5151
592036.5,4271003,1370
592037.125,4271003,2579
592037.125,4271003,2740
592037.8125,4271003,2439
592037.8125,4271003,2222
592037.8125,4271003,1628
592038.5,4271003,1426
592038.5,4271003,1517
592039.125,4271003,2146
592039.125,4271003,2425
592039.8125,4271003,2146
592039.8125,4271003,2404
592040.5,4271003,1831
592040.5,4271003,1740
592041.125,4271003,2181
592041.125,4271003,2181
592041.8125,4271003,2446
592041.8125,4271003,2313
592042.4375,4271003,2796
592043.8125,4271003,2516
592045.125,4271003,2006
592045.8125,4271003,1538
592046.4375,4271003,1922
592047.125,4271002.5,1985
592048.4375,4271002.5,2153
592049.125,4271002.5,1740
592050.4375,4271002.5,1698
592051.75,4271003,1936
592052.4375,4271003,1929
592053.75,4271003,2076
592033,4270729.5,1894
592029.75,4271125.5,1293
592029.75,4271125.5,1153
592029.75,4271125.5,1538
592030.4375,4271125.5,1132
592030.4375,4271125.5,1873
592030.4375,4271125.5,1503
592030.4375,4271125.5,1698
592031.0625,4271125.5,2390
592031.0625,4271125.5,1607
592031.0625,4271125.5,1866
592032.4375,4271125.5,1621
592033.75,4271125.5,1852
592035.75,4271126,2292
592037.0625,4271126,2851
592038.375,4271125.5,2628
592040.375,4271125.5,1775
592042.375,4271125.5,1873
592043.6875,4271125.5,1908
592045.6875,4271125,2090
592048.375,4271125,2509
592049.6875,4271125,1698
592051.6875,4271124.5,1572
592053,4271124.5,2181
592054.375,4271124.5,1719
592055.6875,4271124.5,1621
592054.4375,4271003,2020
592057,4271125,2415
592055.125,4271003,1611
592055.75,4271003,1671
592056.4375,4271003,3122
592056.4375,4271003,1304
592057.0625,4271003,1022
592057.0625,4271003,1081
592056.4375,4271003,636
592056.4375,4271002.5,1749
592058.4375,4271002.5,0
592059.0625,4271002.5,0
592059.75,4271002.5,0
592059.75,4271002.5,0
592059.75,4271002.5,0
592060.4375,4271002.5,1749
592061.0625,4271002.5,2549
592061.0625,4271002.5,426
592062.4375,4271002.5,505
592063.0625,4271002.5,373
592063.75,4271002.5,216
592065.0625,4271002.5,0
592066.375,4271002.5,0
592065.75,4271002.5,0
592065.75,4271002.5,0
592063.75,4271002.5,0
592026.625,4271107.5,753
592058.375,4271124.5,2121
592028,4271107.5,1052
592028.625,4271107.5,892
592029.3125,4271107.5,802
592029.9375,4271107.5,660
592030.625,4271107.5,1436
592059.6875,4271124.5,1693
592031.3125,4271107.5,2685
592031.9375,4271107.5,3937
592061.6875,4271124.5,1647
592032.625,4271107.5,1067
592032.625,4271107.5,1226
592033.3125,4271107.5,769
592062.3125,4271124.5,1649
592033.3125,4271107.5,932
592063.6875,4271124.5,1571
592033.9375,4271107.5,1276
592065,4271124.5,951
592085.625,4271124,1434
592086.9375,4271124.5,1099
592066.3125,4271124.5,682
592076.3125,4271124,1177
592082.9375,4271124,1546
592084.25,4271124,1268
592088.25,4271124.5,938
592089.5625,4271124.5,1541
592090.9375,4271124.5,1887
592091.5625,4271124.5,2149
592092.25,4271124.5,3121
592093.5625,4271124.5,1779
592093.5625,4271124.5,1905
592094.25,4271124.5,1677
592094.875,4271124.5,1728
592096.25,4271124,1615
592071.625,4271124.5,1448
592073.625,4271124.5,1300
592075,4271124,1079
592078.3125,4271124,1346
