Easting,Northing,Yield
592038.8125,4270625,1012.141312
592040.8125,4270625,1156.47168
592042.8125,4270625,1146.675712
592044.8125,4270625,1166.19776
592046.8125,4270625,1150.076928
592048.8125,4270625,1219.77856
592050.8125,4270624.5,1295.60704
592053.4375,4270624.5,1551.63008
592055.4375,4270624.5,1311.68128
592058.125,4270625,1383.66592
592060.125,4270625,1719.59424
592062.125,4270625,1751.50976
592064.75,4270625,1691.05664
592066.75,4270625,1804.2752
592069.4375,4270625,1832.92928
592025.0625,4271127,1827.649712
592027.875,4271114,2289.392448
592027.9375,4271113,1654.568496
592027.9375,4271112,2015.887104
592027.25,4271111.5,1549.863616
592027.9375,4271110.5,1689.508688
592027.9375,4271109,1822.096304
592028.0625,4271100.5,2162.589632
592028.0625,4271100.5,2201.463488
592027.4375,4271099,1612.686544
592027.4375,4271098.5,1843.03728
592027.4375,4271097.5,1543.500336
592027.4375,4271097.5,1561.433216
592028.125,4271096.5,1703.160816
592028.125,4271095,1858.887632
592028.125,4271094.5,1555.069936
592028.125,4271093.5,1912.107792
592028.125,4271093,1945.42824
592027.5,4271092,2050.364512
592028.1875,4271086.5,2636.596144
592018.4375,4271127.5,6766.749696
592018.4375,4271127.5,2868.101376
592018.4375,4271127.5,2390.161536
592018.4375,4271127.5,3013.043712
592018.4375,4271127.5,3201.330048
592018.4375,4271127.5,2675.654016
592018.4375,4271127.5,1646.49408
592018.4375,4271127.5,1357.071744
592019.75,4271127,1714.226304
592021.125,4271127,1536.804864
592022.4375,4271127,2164.772736
592023.75,4271127,2053.234176
592026.4375,4271126.5,1967.8176
592027.0625,4271127,2045.8368
592027.75,4271127,1642.795392
592028.4375,4271127,2398.483584
592027.75,4271127,1017.566861
592026.4375,4271126.5,1085.056358
592025.75,4271127,1045.607539
592025.0625,4271127,913.8880128
592023.75,4271127,1006.147162
592023.125,4271127,1054.92361
592022.4375,4271127,1183.695744
592021.125,4271127,1619.90976
592021.75,4271127,2071.380864
592022.4375,4271127,1410.933888
592023.125,4271126.5,1113.698074
592024.4375,4271126.5,944.8876416
592025.125,4271126.5,768.9572352
592026.4375,4271126,885.6277248
592027.125,4271125.5,1112.461325
592028.4375,4271125.5,1231.663104
592029.0625,4271125.5,1528.945152
592030.4375,4271125.5,1919.85024
592031.0625,4271125.5,1989.20064
592032.4375,4271126,2002.377216
592033.75,4271126,1883.094528
592026.4375,4271125,1673.0784
592026.4375,4271124.5,2318.03712
592027.125,4271123.5,1131.63671
592027.125,4271122.5,1918.000896
592027.8125,4271123,8562.000384
592027.125,4271123,4734.782976
592027.125,4271122.5,1519.004928
592027.8125,4271122,1487.219328
592027.8125,4271121.5,1559.921664
592027.8125,4271120,1701.512064
592027.8125,4271120,1849.459584
592027.8125,4271119.5,1496.003712
592027.875,4271118.5,1642.795392
592027.875,4271118,1826.458368
592027.875,4271117,1519.004928
592027.875,4271116.5,1403.998848
592027.875,4271115.5,1405.617024
592027.875,4271114.5,1531.950336
592027.9375,4271108.5,1834.664832
592027.9375,4271108,1637.362944
592028,4271107.5,1531.950336
592028,4271106,1361.232768
592028,4271106,1761.846912
592027.3125,4271105,1898.813952
592028,4271104.5,2301.624192
592027.375,4271103,1769.359872
592028,4271103,2327.168256
592028.0625,4271102,2370.62784
592028.0625,4271102,2813.083392
592027.5,4271092,2506.207872
592028.1875,4271091.5,1956.374784
592028.1875,4271090.5,2045.8368
592028.1875,4271089.5,1785.657216
592028.1875,4271088.5,1713.417216
592028.1875,4271087,1588.12416
592028.25,4271086,2692.876032
592028.25,4271085.5,3080.660352
592028.25,4271084.5,1976.139648
592028.25,4271084,2940.919296
592028.25,4271083.5,2623.872384
592028.25,4271083,2122.584576
592028.25,4271081.5,2190.432384
592028.25,4271081,2506.207872
592028.3125,4271080,2392.01088
592028.3125,4271079,2367.391488
592028.3125,4271078.5,1578.183936
592028.3125,4271077.5,1833.277824
592028.3125,4271076.5,1994.748672
592028.3125,4271076,1795.250688
592028.3125,4271075.5,2275.964544
592028.375,4271075,1726.131456
592028.375,4271074.5,2177.60256
592028.375,4271073,1898.813952
592028.375,4271073,1699.66272
592028.375,4271071.5,2230.34168
592028.375,4271071,1646.63072
592028.375,4271070,1525.96248
592028.4375,4271069,1312.801168
592028.4375,4271068,1293.401872
592028.4375,4271067.5,1241.670416
592028.4375,4271066.5,1602.174
592028.4375,4271065.5,1625.961232
592028.4375,4271064.5,1424.116176
592028.5,4271064,1601.365696
592055.8125,4270942.5,2173.298512
592028.5,4271063.5,2226.01512
592058.4375,4270942.5,2175.306
592053.8125,4270942,2206.077216
592077.9375,4270753.5,2444.41008
592073,4270893.5,2034.818688
592029.1875,4271062,2358.215552
592028.5,4271062,1686.16672
592028.5,4271061,1329.705664
592028.5,4271060,1398.556992
592028.5,4271059.5,1572.066944
592028.5625,4271059,1849.890112
592029.1875,4271058.5,1517.837888
592028.5625,4271057.5,1597.512
592029.25,4271056.5,1992.198208
592029.25,4271056,1673.616896
592029.25,4271055,1849.890112
592029.25,4271054,2178.027712
592043.8125,4270942,2538.979072
592367.375,4270954.5,1901.125632
592035.875,4271058.5,1604.880704
592046.9375,4270905,2428.563648
592030.0625,4270985,1940.109808
592030.9375,4270967,2125.758544
592030.9375,4270966.5,1998.887072
592030.9375,4270963.5,2637.730368
592031,4270962.5,2364.548368
592031.9375,4270938,2297.02928
592055.875,4270936.5,1851.8864
592066.5,4270936.5,2120.812512
592069.125,4270936.5,2128.404096
592071.125,4270936.5,1918.945392
592077.8125,4270936,2173.263456
592079.8125,4270936,2109.310112
592083.75,4270936,2247.338912
592088.4375,4270936.5,2239.287232
592090.4375,4270936.5,2150.258656
592095.0625,4270936.5,2101.833552
592099.0625,4270936.5,2077.563488
592101.75,4270936.5,2077.563488
592103.6875,4270936.5,2215.017168
592105.6875,4270936.5,2223.068848
592117,4270936,2376.625888
592121.6875,4270936.5,1988.649936
592123.625,4270936.5,2151.408896
592128.3125,4270936.5,2220.653344
592130.3125,4270936,2379.84656
592134.3125,4270936,2333.031792
592136.9375,4270936,2006.133584
592138.9375,4270936,1965.530112
592140.9375,4270936,1942.870384
592143.625,4270936,2101.373456
592145.5625,4270936,2179.819824
592150.25,4270936.5,2197.188448
592152.875,4270936.5,2235.146368
592154.875,4270936.5,2053.408448
592159.5625,4270936.5,2117.361792
592166.1875,4270936.5,2309.1068
592168.1875,4270936.5,1989.455104
592170.1875,4270936.5,2101.373456
592172.8125,4270936.5,2301.05512
592174.8125,4270936.5,2117.936912
592176.8125,4270936.5,1826.926192
592181.5,4270936,1949.541776
592184.125,4270936,2173.263456
592186.125,4270936,2229.16512
592190.8125,4270936,2116.671648
592192.75,4270936,2037.65016
592195.4375,4270936.5,1966.565328
592197.4375,4270936.5,2219.38808
592200.0625,4270936.5,2085.040048
592202.0625,4270936.5,2029.828528
592204.0625,4270936.5,1887.658864
592206.75,4270936.5,1919.17544
592208.75,4270936.5,2227.209712
592213.375,4270936,2069.28176
592215.375,4270936,2195.693136
592222,4270936,2295.87904
592224,4270936,2421.370224
592226.6875,4270936,2221.228464
592228.6875,4270936,2069.396784
592231.3125,4270936,2141.286784
592233.3125,4270936.5,1769.184144
592235.3125,4270936.5,1919.17544
592244.625,4270936.5,1924.006448
592246.625,4270936.5,2182.235328
592249.25,4270936.5,2129.324288
592251.25,4270936.5,1978.297776
592253.9375,4270936.5,2069.051712
592256.5625,4270936.5,2077.33344
592258.5625,4270936.5,2247.338912
592260.5625,4270936.5,2274.02448
592262.5625,4270936.5,2103.328864
592267.1875,4270936.5,2100.91336
592269.875,4270936.5,1953.337568
592271.875,4270936.5,1683.836336
592274.5,4270936.5,1653.585024
592276.5,4270937,1448.957328
592279.1875,4270937,1590.896944
592283.8125,4270936.5,2091.251344
592286.5,4270936.5,1837.278352
592293.8125,4270936.5,2031.553888
592295.8125,4270936.5,2158.540384
592298.4375,4270936.5,2195.80816
592300.4375,4270936.5,1889.614272
592303.125,4270936.5,2218.23784
592305.0625,4270936.5,2257.691072
592307.75,4270936.5,2315.318096
592312.4375,4270936.5,2469.105184
592315.0625,4270936.5,2206.505392
592317.75,4270936.5,2481.297728
592319.6875,4270937,2160.610816
592322.375,4270936.5,2389.738624
592324.375,4270936.5,2244.578336
592326.375,4270936.5,2336.252464
592329,4270937,2532.368384
592331.6875,4270937,2151.063824
592333.6875,4270937,2197.303472
592336.3125,4270937,2203.28472
592338.3125,4270937,2016.600768
592341,4270937,2322.794656
592343.625,4270937,2248.14408
592346.3125,4270937,2173.37848
592348.3125,4270937,1917.910176
592350.9375,4270937,2158.540384
592352.9375,4270937,2352.700896
592355.625,4270937.5,2233.19096
592358.25,4270937,2330.271216
592360.25,4270937,2121.157584
592362.9375,4270937,2106.204464
592364.875,4270937,1800.010576
592367.5625,4270937,2046.507008
592369.5625,4270937,2106.204464
592372.1875,4270937,1912.043952
592374.875,4270937,2038.685376
592376.875,4270937,2114.831264
592379.5,4270937,2008.549088
592381.5,4270937,2151.063824
592384.1875,4270937,1956.788288
592386.1875,4270937,2068.821664
592393.5,4270937.5,2031.553888
592396.125,4270937.5,2068.821664
592398.8125,4270937.5,2091.251344
592400.8125,4270937.5,2024.077328
592405.4375,4270937.5,2113.681024
592408.125,4270937.5,2113.681024
592410.75,4270937.5,2143.587264
592412.75,4270937.5,2352.700896
592415.4375,4270937.5,2158.540384
592417.375,4270937.5,1971.741408
592420.0625,4270937,1824.970784
592424.75,4270937,2053.868544
592427.375,4270937,2143.587264
592429.375,4270937.5,2136.915872
592432,4270937.5,2203.28472
592434.6875,4270937.5,2144.507456
592436.6875,4270937.5,2167.05216
592439.375,4270937,1948.161488
592441.3125,4270937,1605.73504
592444,4270937,1807.487136
592446.625,4270937,1480.013808
592448.625,4270937,945.842352
592453.25,4270942.5,1434.464304
592451.9375,4270942.5,1873.16584
592449.9375,4270942,1675.439584
592447.9375,4270942.5,1771.599648
592445.25,4270942.5,1568.237216
592443.25,4270942.5,2021.891872
592440.625,4270942.5,2179.819824
592438.625,4270942.5,2006.708704
592436.625,4270942.5,1991.06544
592433.9375,4270942.5,2233.19096
592432,4270942.5,2076.988368
592429.3125,4270942.5,1706.266016
592427.3125,4270942.5,1944.250672
592424.6875,4270942.5,1984.164
592422.6875,4270942.5,2154.054448
592420,4270942,2231.235552
592417.375,4270942,2107.23968
592415.375,4270942.5,2114.831264
592413.375,4270942.5,2277.590224
592406.0625,4270942.5,2084.579952
592403.375,4270942.5,2359.14224
592401.375,4270942.5,2320.954272
592398.75,4270942.5,2115.406384
592396.75,4270942.5,2099.533072
592394.0625,4270942.5,2161.761056
592389.4375,4270942.5,2223.528944
592387.4375,4270942.5,2147.268032
592384.8125,4270942.5,2455.18728
592382.8125,4270942,2359.14224
592380.125,4270942,2099.533072
592378.125,4270942,2189.711888
592375.5,4270942,1608.380592
592370.8125,4270942,2229.395168
592364.1875,4270942.5,2114.831264
592361.5,4270942.5,1910.318592
592356.875,4270942.5,2046.161936
592354.875,4270942.5,2068.936688
592349.5625,4270942.5,2227.554784
592342.9375,4270942.5,2099.188
592338.25,4270942.5,2280.3508
592328.3125,4270942.5,2235.031344
592319,4270942.5,2242.622928
592316.3125,4270942.5,2129.324288
592307.6875,4270942.5,2280.3508
592300.375,4270942.5,2285.411856
592051.125,4270942,2134.500368
592027.875,4271118,1374.191728
592029.8125,4271118.5,1556.159696
592033.5625,4271082.5,1914.919552
592033.875,4271058.5,1637.136592
592033.6875,4270786.5,2621.39696
592033.625,4270788,2378.236224
592033.625,4270789,1819.909728
592032.9375,4270790.5,1652.664832
592032.9375,4270791.5,2336.252464
592044.25,4270905,2241.81776
592063,4270893,1964.494896
592065.6875,4270893.5,2096.657472
592070.3125,4270893.5,2202.364528
592029.25,4271053.5,2038.53888
592029.25,4271053,2454.635232
592029.25,4271052.5,1461.450816
592029.25,4271051.5,1550.047968
592029.3125,4271050.5,1308.502944
592029.9375,4271050,2102.31504
592030,4271049,2338.229376
592030,4271048,2080.826496
592030,4271047.5,1793.661408
592030,4271046.5,1990.735488
592030,4271045.5,1936.84176
592030,4271045,1691.619552
592030,4271045,1467.541152
592030.0625,4271044,1814.230656
592029.375,4271043,1704.259872
592030.0625,4271042.5,1533.040992
592029.375,4271041.5,1052.59392
592030.0625,4271040.5,1609.572384
592030.0625,4271040,1801.935072
592030.0625,4271040,1964.650464
592030.125,4271038.5,1533.040992
592030.125,4271038,1807.680672
592030.125,4271036.5,1675.761696
592030.125,4271036,2015.096832
592030.125,4271035,1554.644448
592030.125,4271034.5,1771.483392
592030.125,4271034,1480.181472
592030.125,4271033.5,1656.916128
592030.1875,4271032.5,1630.371456
592030.1875,4271031.5,2242.392768
592030.1875,4271031,1887.774336
592030.1875,4271030,2491.636896
592030.1875,4271029,2196.657792
592030.1875,4271029,2553.689376
592030.25,4271027.5,1830.54816
592030.25,4271027.5,1805.152608
592030.25,4271026,2082.320352
592030.25,4271026,2695.031136
592030.25,4271025.5,2059.337952
592030.25,4271025,2034.861696
592030.25,4271023.5,1527.869952
592030.25,4271023.5,1569.008448
592030.25,4271022.5,1594.404
592030.3125,4271022,1957.640832
592030.3125,4271020.5,1899.150624
592030.3125,4271020.5,2248.712928
592030.3125,4271019,1866.285792
592029.6875,4271018.5,1761.945696
592029.6875,4271017.5,2119.896576
592029.6875,4271016.5,2280.773376
592029.6875,4271015.5,2454.635232
592029.6875,4271015,1265.640768
592029.6875,4271014,1413.302688
592029.75,4271013.5,1572.225984
592029.75,4271012.5,1913.744448
592029.75,4271012,2142.53424
592029.75,4271011,1909.26288
592030.4375,4271009.5,2099.786976
592029.75,4271009.5,1749.305376
592029.8125,4271008,1655.537184
592029.8125,4271006.5,1437.204384
592029.8125,4271006.5,1622.55744
592030.5,4271006,1008.26087
592029.8125,4271004.5,1265.640768
592030.5,4271004,1157.16384
592029.8125,4271003,1196.348832
592029.875,4271001,1298.735424
592029.875,4271001,1473.861312
592029.875,4271000.5,1608.308352
592029.875,4270999,1353.318624
592030.5625,4270998,1588.6584
592030.5625,4270996.5,1773.321984
592029.9375,4270996.5,1830.54816
592029.9375,4270995.5,1258.516224
592029.9375,4270994,1615.203072
592029.9375,4270993.5,1811.472768
592029.9375,4270993,2321.911872
592029.9375,4270992,2531.281536
592030,4270990.5,1998.779328
592030,4270990,1930.636512
592030,4270989.5,1608.308352
592030,4270988.5,1433.5272
592030,4270987.5,1453.6368
592030,4270986.5,1277.591616
592030.0625,4270986,1437.204384
592030.75,4270984.5,1976.141664
592030.0625,4270983.5,1792.397376
592030.0625,4270982.5,1675.761696
592030.0625,4270981.5,1725.97824
592030.75,4270981,1314.01872
592030.75,4270980,2392.238016
592030.8125,4270979,1868.698944
592030.8125,4270978.5,1501.670016
592030.8125,4270977.5,1220.36544
592030.8125,4270976.5,1262.193408
592030.8125,4270976,1630.371456
592030.8125,4270975,1594.404
592030.8125,4270974,1737.584352
592030.8125,4270973.5,1544.532192
592030.875,4270972.5,1716.095808
592030.875,4270971.5,1534.419936
592030.875,4270971,2015.096832
592030.875,4270970,1601.758368
592030.25,4270968.5,1244.152224
592030.875,4270968,1123.322256
592030.9375,4270968,1716.095808
592030.9375,4270965.5,1973.6136
592030.9375,4270964,1695.986208
592031,4270962,2302.951392
592031,4270961,1248.059232
592031,4270960,1594.404
592031,4270959.5,1292.18544
592031,4270958,2502.323712
592031,4270957,1796.878944
592031.0625,4270956,1926.49968
592031.0625,4270955.5,2121.735168
592031.0625,4270954,1747.351872
592031.0625,4270953,1675.761696
592031.0625,4270952.5,1882.25856
592031.125,4270951.5,1554.644448
592031.125,4270950.5,1523.043648
592031.125,4270950,1435.365792
592031.125,4270949,1694.722176
592031.125,4270948.5,1934.54352
592031.1875,4270946,2353.627584
592031.1875,4270945.5,2590.805952
592031.1875,4270944.5,2079.562464
592031.1875,4270943.5,1844.91216
592031.1875,4270942.5,1635.427584
592031.1875,4270942,1594.404
592031.25,4270940.5,1664.155584
592031.25,4270940.5,1823.423616
592031.25,4270939,2037.96432
592031.9375,4270938,2265.375168
592031.9375,4270936,1978.669728
592031.9375,4270935.5,1624.625856
592031.9375,4270935,1978.669728
592031.3125,4270933.5,2214.35424
592031.3125,4270933,2080.137024
592031.3125,4270932.5,1394.342208
592031.3125,4270931.5,1622.55744
592032,4270929.5,2445.557184
592032,4270929,1998.779328
592032.0625,4270928,1716.095808
592032.0625,4270927,1470.988512
592032.0625,4270926.5,1822.619232
592032.0625,4270925.5,1660.823136
592032.0625,4270924.5,2173.790304
592032.0625,4270925,2196.657792
592032.0625,4270926.5,1397.444832
592032.0625,4270927,1008.26087
592032.0625,4270927,1127.780842
592032.0625,4270928,1094.077152
592032,4270928.5,1421.921088
592032,4270929.5,1222.778592
592032,4270929.5,1544.532192
592032,4270931,1102.523184
592029.25,4270937.5,10068.2447
592029.25,4270937,5393.739456
592029.9375,4270937,1161.645408
592030.625,4270937,1634.393376
592029.9375,4270937,1405.603584
592029.25,4270937,764.4865536
592029.25,4270937,2451.64752
592029.9375,4270937,921.3299424
592031.25,4270937,953.4363552
592031.9375,4270937,1101.224678
592033.25,4270936.5,1606.010112
