ID,Row,Column,Easting,Northing,RowCol,Sand,Silt,Clay,SoilpH,SoilTOC,SoilTN,SoilP,CropDens,Weeds,Disease,SPAD,GrainProt,LeafN,EM38F,EM38B
1,1,1,592106.958,4267842.741,1a,42.7,32.3,25.1,5.6,0.716,0.065,45.9,3,1,0,36.4,13.3,3.764,76,72
2,1,2,592167.958,4267842.741,1b,40.9,33.1,26,5.57,0.767,0.071,41.7,3,3,0,40.9,13.7,4.313,69,65
3,1,3,592228.958,4267842.741,1c,34.8,36.7,28.5,5.74,0.849,0.064,52.3,3,4,0,44.7,13.7,4.49,67,66
4,1,4,592289.958,4267842.741,1d,31.2,45.6,23.2,5.51,0.828,0.064,29.1,3,1,0,38.6,13.1,4.258,71,67
5,1,5,592354.008,4267842.741,1e,30.4,38.1,31.5,5.65,0.839,0.061,29,3,3,0,38.2,13.6,4.113,75,73
6,1,6,592415.008,4267842.741,1f,26.3,40.1,33.6,5.76,0.923,0.067,32.6,3,4,0,42.7,13.6,4.445,78,74
7,1,7,592476.008,4267842.741,1g,28.6,39.6,31.8,5.51,0.847,0.061,24.1,3,3,0,38.7,14.6,4.202,61,58
8,1,8,592537.008,4267842.741,1h,27.9,40.3,31.9,5.52,0.9,0.067,25.2,3,4,0,39.7,13.5,4.207,68,64
9,1,9,592598.008,4267842.741,1i,30.3,39,30.7,5.44,0.918,0.069,22.5,3,5,0,35.6,12.5,3.715,72,66
10,1,10,592659.008,4267842.741,1j,27,41.4,31.6,5.6,0.942,0.072,22.5,4,3,0,41,14.4,4.235,75,71
11,1,11,592720.008,4267842.741,1k,25,42.2,32.8,5.55,0.994,0.074,24.8,4,4,1,41.4,14.7,4.333,86,79
12,1,12,592781.008,4267842.741,1l,27.4,41.3,31.3,5.59,0.971,0.071,20.6,3,5,0,34.7,12.4,3.482,83,78
13,1,13,592842.008,4267842.741,1m,23.6,44.3,32.1,5.57,0.866,0.073,17.1,4,4,0,34.5,11.8,3.903,81,75
14,2,1,592108.958,4267781.741,2a,41.3,33.1,25.6,5.81,0.625,0.051,13.5,3,1,0,39.8,12.3,4.263,86,81
15,2,2,592167.958,4267781.741,2b,35,36,29,5.56,0.753,0.057,23.4,3,5,0,41.2,13.8,4.364,82,76
16,2,3,592228.958,4267781.741,2c,34.6,36,29.4,5.68,0.809,0.059,23.9,3,4,0,43.4,13.9,4.413,76,73
17,2,4,592289.958,4267781.741,2d,32.4,28.7,38.9,5.75,0.913,0.063,26.4,3,1,0,38.4,13.3,4.289,80,76
18,2,5,592354.008,4267781.741,2e,30.6,25.5,43.9,5.6,0.902,0.062,22.6,3,4,0,40.1,13.3,4.122,79,76
19,2,6,592415.008,4267781.741,2f,24.4,40.8,34.8,5.79,0.904,0.064,24.4,3,4,0,43.5,13.4,4.274,75,70
20,2,7,592476.008,4267781.741,2g,24.6,40,35.4,5.64,0.91,0.066,21.6,3,3,0,38,14.2,4.219,72,66
21,2,8,592537.008,4267781.741,2h,23.6,41.6,34.8,5.49,0.878,0.071,26.3,3,2,0,41.3,14,4.328,74,69
22,2,9,592598.008,4267781.741,2i,23.7,41.9,34.3,5.54,0.935,0.069,19.7,3,2,0,39.2,13.6,4.124,80,78
23,2,10,592659.008,4267781.741,2j,24.8,41.5,33.7,5.5,0.962,0.074,17.6,4,1,0,40.8,13.4,4.494,79,76
24,2,11,592720.008,4267781.741,2k,24.7,42.2,33.1,5.64,0.937,0.07,21.3,4,3,0,41.5,13.2,4.226,82,77
25,2,12,592781.008,4267781.741,2l,26.6,41.1,32.3,5.63,0.919,0.069,19.7,3,5,0,37.3,12.3,3.734,79,77
26,2,13,592842.008,4267781.741,2m,25.6,42.7,31.7,5.5,0.907,0.073,17.6,4,3,0,37.2,12.2,3.81,78,73
27,3,1,592109.958,4267720.741,3a,45.5,30.5,24,5.78,0.637,0.044,17.3,3,3,0,39.9,12.1,4.251,82,80
28,3,2,592167.958,4267720.741,3b,32.7,37,30.2,5.92,0.807,0.057,15.8,1,5,0,40.4,13.5,4.042,82,79
29,3,3,592228.958,4267720.741,3c,27.2,40.7,32.1,5.65,0.822,0.059,22.8,3,5,0,42.9,13.7,4.498,82,75
30,3,4,592289.958,4267720.741,3d,32.7,35.1,32.2,5.62,0.821,0.059,22.1,3,1,0,38.1,12.5,4.094,74,70
31,3,5,592354.008,4267720.741,3e,28.7,25.1,46.1,5.6,0.901,0.065,20.5,1,5,0,37.8,12.2,3.907,83,80
32,3,6,592415.008,4267720.741,3f,25.2,39.4,35.5,5.73,0.918,0.062,20.2,3,5,0,43.2,13.4,4.28,72,69
33,3,7,592476.008,4267720.741,3g,22.4,41.6,36,5.62,1,0.067,19.5,3,5,0,42.2,14.3,3.995,69,67
34,3,8,592537.008,4267720.741,3h,19.7,41.9,38.4,5.63,0.89,0.067,18.6,3,2,0,40.7,13.6,4.253,79,73
35,3,9,592598.008,4267720.741,3i,24.5,41.2,34.3,5.62,0.893,0.068,20.1,3,1,0,38.1,13.5,4.276,79,76
36,3,10,592659.008,4267720.741,3j,28.8,39.7,31.5,5.59,0.833,0.065,15.9,4,1,0,40.4,12.9,4.36,72,68
37,3,11,592720.008,4267720.741,3k,30.4,38.2,31.4,5.68,0.818,0.067,20.7,4,1,1,41.7,13.8,4.511,76,70
38,3,12,592781.008,4267720.741,3l,30.4,37.7,31.9,5.71,0.805,0.063,16,3,4,0,37,11.9,3.594,78,76
39,3,13,592842.008,4267720.741,3m,24.1,42.6,33.3,5.57,0.906,0.072,14.6,4,3,0,38.7,11.3,3.705,86,79
40,4,1,592110.958,4267659.741,4a,30.7,37.7,31.7,5.71,0.826,0.058,20.9,1,5,0,39.2,13.5,4.118,83,80
41,4,2,592167.958,4267659.741,4b,41.2,32.2,26.6,5.62,0.771,0.053,19.2,3,5,0,40.8,13.4,4.144,76,73
42,4,3,592228.958,4267659.741,4c,25.5,40.7,33.9,5.68,0.829,0.059,19.9,3,5,0,44.9,13.5,4.319,80,78
43,4,4,592289.958,4267659.741,4d,31.4,37.8,30.8,5.6,0.886,0.062,23,3,3,0,40.4,12.5,4.404,75,71
44,4,5,592354.008,4267659.741,4e,25.7,39.9,34.3,5.58,0.851,0.064,19,1,5,0,40.8,13.1,4.015,84,81
45,4,6,592415.008,4267659.741,4f,24.6,36.5,38.9,5.63,0.902,0.064,18.9,2,5,0,40.4,10.8,3.909,83,80
46,4,7,592476.008,4267659.741,4g,22.2,39.9,37.9,5.6,0.916,0.061,18.2,3,5,1,36.9,13.9,4.139,74,70
47,4,8,592537.008,4267659.741,4h,18.4,42.1,39.5,5.66,0.904,0.065,17.9,3,1,0,37.6,10.8,4.023,73,71
48,4,9,592598.008,4267659.741,4i,19.7,41.2,39.1,5.66,0.901,0.068,16.9,3,1,0,36.7,12.5,3.693,87,84
49,4,10,592659.008,4267659.741,4j,26.7,37.4,31.5,5.63,0.77,0.062,14.9,4,2,0,41.9,13.1,4.515,70,66
50,4,11,592720.008,4267659.741,4k,24.5,40.5,35,5.71,0.944,0.07,23.5,3,3,1,39,13.4,4.367,80,75
51,4,12,592781.008,4267659.741,4l,22.6,40.9,36.5,5.67,0.953,0.07,20.2,3,4,0,33.6,12.1,3.678,83,80
52,4,13,592842.008,4267659.741,4m,19.8,43,37.2,5.64,0.875,0.073,20.3,3,3,0,35.7,12.7,3.659,89,80
53,5,1,592111.958,4267598.741,5a,27.4,38.5,34.1,5.71,0.937,0.065,22.9,1,5,0,42.8,13,3.968,87,81
54,5,2,592167.958,4267598.741,5b,31.7,37.5,30.8,5.57,0.892,0.062,15.9,1,5,0,41.8,13.9,4.265,76,72
55,5,3,592228.958,4267598.741,5c,34.3,36.2,29.4,5.64,0.8,0.057,19.3,3,5,0,41.9,13.8,4.707,82,78
56,5,4,592289.958,4267598.741,5d,31.8,38,30.2,5.55,0.814,0.059,19.7,3,1,0,38.6,12,4.228,75,70
57,5,5,592354.008,4267598.741,5e,23.6,40.8,35.7,5.68,0.867,0.061,21.6,3,5,0,39.6,12.9,4.376,79,72
58,5,6,592415.008,4267598.741,5f,23.8,36.4,39.8,5.69,0.881,0.06,18.4,2,5,0,39.9,13.1,3.819,83,80
59,5,7,592476.008,4267598.741,5g,27.8,36.7,35.5,5.54,0.873,0.062,19.2,3,5,1,38.5,13.7,3.664,73,69
60,5,8,592537.008,4267598.741,5h,20.8,38.7,40.4,5.61,0.905,0.067,18.5,3,3,0,39.3,12.8,4.112,86,82
61,5,9,592598.008,4267598.741,5i,19.8,39.3,40.9,5.62,0.8,0.061,18.6,3,1,0,35.7,12.5,3.759,85,82
62,5,10,592659.008,4267598.741,5j,24.9,38.8,36.3,5.65,0.848,0.067,17.6,3,2,0,39.6,12.4,4.158,78,75
63,5,11,592720.008,4267598.741,5k,26.6,36.9,36.5,5.63,0.936,0.071,25.7,3,2,1,40.3,13.1,4.326,69,65
64,5,12,592781.008,4267598.741,5l,20.4,48.1,31.5,5.75,0.974,0.074,23,3,4,0,33.8,12,3.619,77,73
65,5,13,592842.008,4267598.741,5m,17.3,44.1,38.6,5.71,0.913,0.073,22.3,4,3,0,35.5,11.4,3.691,85,81
