Easting,Northing,Moisture,Yield
592081.250,4267863.500,5.0,2812
592081.250,4267863.500,5.0,2775
592081.250,4267863.500,5.0,2192
592081.875,4267863.500,5.0,2740
592081.875,4267863.500,5.0,827
592083.250,4267863.500,5.0,349
592084.563,4267863.500,5.0,713
592085.250,4267863.500,5.0,1234
592085.250,4267863.500,5.0,875
592085.875,4267863.500,5.0,1791
592086.563,4267863.500,5.0,1693
592086.563,4267863.500,5.0,1312
592087.188,4267863.500,5.0,962
592087.188,4267863.500,5.0,1562
592087.875,4267863.500,5.0,2557
592088.563,4267863.500,5.0,2651
592089.188,4267863.500,5.1,2606
592089.875,4267863.500,7.5,2964
592089.875,4267863.500,9.5,3263
592090.563,4267863.500,10.0,3331
592091.188,4267863.500,10.4,4035
592091.875,4267863.500,10.7,5108
592091.875,4267863.500,10.5,5361
592092.563,4267863.500,10.5,4985
592093.188,4267863.500,10.9,4873
592093.875,4267863.500,11.2,5173
592093.875,4267863.500,10.9,5108
592094.500,4267863.500,10.9,5234
592095.188,4267863.500,11.2,4781
592095.875,4267863.500,11.1,4925
592096.500,4267863.500,11.1,5233
592096.500,4267863.500,10.9,4636
592097.188,4267863.500,11.1,5122
592097.875,4267863.500,11.1,5317
592098.500,4267863.500,10.9,4256
592098.500,4267863.500,10.7,5822
592099.188,4267863.500,10.9,4940
592099.875,4267863.500,11.0,5164
592100.500,4267863.500,10.7,5349
592100.500,4267863.500,10.6,5544
592101.188,4267863.500,10.9,5276
592101.813,4267863.500,10.8,4202
592102.500,4267863.500,10.7,5608
592102.500,4267863.500,10.8,6058
592103.188,4267863.500,11.2,3521
592103.813,4267863.500,11.2,3145
592103.813,4267863.500,10.7,2797
592104.500,4267863.500,10.9,2359
592105.188,4267863.500,10.8,3319
592105.188,4267863.500,10.8,3801
592105.813,4267863.500,10.8,3627
592106.500,4267863.500,10.5,4137
592107.188,4267863.500,10.9,5395
592107.188,4267863.500,10.9,4780
592107.813,4267864.000,10.8,5508
592108.500,4267864.000,10.7,5769
592108.500,4267864.000,10.9,6001
592109.125,4267864.000,11.0,5525
592109.813,4267864.000,11.1,6605
592110.500,4267864.000,11.1,5774
592110.500,4267864.000,10.9,6383
592111.125,4267864.000,11.1,7354
592111.813,4267864.000,10.9,7177
592111.813,4267864.000,10.9,4776
592112.500,4267864.000,10.7,7476
592113.125,4267864.000,11.0,5765
592113.125,4267864.000,11.0,5022
592113.813,4267864.000,10.6,5937
592114.500,4267864.000,10.7,5497
592115.125,4267864.000,10.9,6345
592115.125,4267864.000,10.8,6932
592115.813,4267864.000,10.8,6126
592116.438,4267864.000,10.6,6542
592116.438,4267864.000,11.0,6172
592117.125,4267864.000,11.0,7361
592117.813,4267864.000,10.9,6644
592117.813,4267864.000,10.7,5216
592118.438,4267864.000,10.7,7205
592119.125,4267864.000,11.1,5597
592119.813,4267864.000,11.1,4241
592119.813,4267864.000,10.7,5809
592120.438,4267864.000,10.9,5234
592121.125,4267864.000,11.1,4385
592121.813,4267864.000,11.0,6329
592121.813,4267864.000,10.8,6005
592122.438,4267864.000,10.7,4369
592123.125,4267864.000,10.9,3919
592123.125,4267864.000,10.9,3233
592123.750,4267864.000,10.9,3268
592124.438,4267864.000,10.7,4465
592125.125,4267864.000,10.9,5181
592125.125,4267864.000,11.0,5478
592125.750,4267864.000,10.7,5495
592126.438,4267864.000,10.7,7020
592126.438,4267864.000,10.9,6227
592127.125,4267864.000,11.0,6262
592127.750,4267864.000,10.9,4992
592127.750,4267864.000,10.7,5433
592128.438,4267864.000,10.9,6246
592129.125,4267864.000,10.9,6724
592129.750,4267864.000,10.7,6831
592129.750,4267864.000,10.7,4661
592130.438,4267864.000,10.8,6117
592131.063,4267864.000,11.0,6396
592131.750,4267864.000,10.9,5533
592131.750,4267864.000,10.5,6468
592132.438,4267864.000,10.9,6779
592133.063,4267864.000,10.9,4249
592133.063,4267864.000,10.9,5583
592133.750,4267864.000,10.5,5393
592134.438,4267864.000,10.8,4134
592135.063,4267864.000,11.0,6664
592135.063,4267864.000,10.9,6012
592135.750,4267864.000,10.7,5262
592136.438,4267864.000,10.8,5982
592136.438,4267864.000,11.1,6456
592137.063,4267864.000,11.2,6022
592137.750,4267864.000,10.9,5120
592137.750,4267864.000,10.9,6991
592138.375,4267864.000,11.0,8002
592139.063,4267864.000,11.2,6490
592139.063,4267864.000,10.7,7347
592139.750,4267864.000,10.9,5849
592140.375,4267864.000,11.1,5868
592141.063,4267864.000,11.1,6228
592141.063,4267864.000,11.1,6069
592141.750,4267864.000,10.8,5227
592142.375,4267864.000,11.0,5805
592142.375,4267864.000,11.0,5510
592143.063,4267864.000,11.0,4574
592143.750,4267864.000,10.8,5537
592144.375,4267864.000,10.7,6966
592144.375,4267864.000,11.0,7401
592145.063,4267864.000,10.9,6224
592145.688,4267864.000,10.9,6485
592146.375,4267864.000,10.7,5683
592146.375,4267864.000,10.9,4885
592147.063,4267864.000,10.9,5391
592147.688,4267864.000,11.0,5572
592148.375,4267864.000,10.7,5292
592149.063,4267864.000,10.6,5419
592149.688,4267864.000,10.9,5461
592149.688,4267864.000,10.9,5234
592150.375,4267864.000,10.9,5546
592151.063,4267864.500,10.7,5105
592151.688,4267864.500,10.9,5095
592152.375,4267864.500,11.0,5425
592153.000,4267864.500,11.0,6011
592153.000,4267864.500,10.8,6254
592153.688,4267864.500,10.8,6551
592154.375,4267864.500,10.9,7064
592155.000,4267864.500,10.7,6008
592155.688,4267864.500,10.8,5199
592156.375,4267864.500,10.5,6626
592156.375,4267864.500,10.7,7053
592157.000,4267864.500,10.8,7543
592157.688,4267864.500,10.8,7485
592158.375,4267864.500,10.8,5693
592159.000,4267864.500,10.6,6784
592159.000,4267864.500,10.8,6713
592159.688,4267864.500,10.8,5481
592160.313,4267864.500,10.8,7358
592161.000,4267864.500,10.7,6040
592161.688,4267864.500,10.4,5312
592162.313,4267864.500,10.8,6196
592163.000,4267864.500,10.9,6192
592163.000,4267864.500,10.8,5957
592163.688,4267864.500,10.6,6716
592164.313,4267864.500,10.6,5937
592165.000,4267864.500,10.8,6079
592165.688,4267864.500,10.9,6325
592165.688,4267864.500,10.7,5547
592166.313,4267864.500,10.7,5118
592167.000,4267864.500,10.8,4374
592167.625,4267864.500,10.8,5619
592168.313,4267864.500,10.8,7013
592169.000,4267864.500,10.6,4729
592169.625,4267864.500,10.5,5294
592169.625,4267864.500,10.8,5436
592170.313,4267864.500,10.7,4506
592171.000,4267864.500,10.9,5534
592171.625,4267864.500,10.5,4101
592172.313,4267864.500,10.4,5162
592173.000,4267864.500,10.6,5112
592173.000,4267864.500,10.6,4530
592173.625,4267864.500,10.5,4644
592174.313,4267864.500,10.2,5308
592174.938,4267864.500,10.3,5145
592175.625,4267864.500,10.5,5879
592176.313,4267864.500,10.7,5160
592176.313,4267864.500,10.3,5123
592176.938,4267864.500,10.3,6409
592177.625,4267864.500,10.5,3657
592178.313,4267864.500,10.6,4085
592178.938,4267864.500,10.6,4442
592179.625,4267864.500,10.2,4785
592179.625,4267864.500,10.3,5751
592180.313,4267864.500,10.6,5066
592180.938,4267864.500,10.5,5688
592181.625,4267864.500,10.7,5914
592182.250,4267864.500,10.5,4184
592182.250,4267864.500,10.7,7383
592182.938,4267864.500,10.8,6584
592183.625,4267864.500,10.7,5200
592184.250,4267864.500,10.6,6009
592184.938,4267864.500,10.5,4785
592185.625,4267864.500,10.6,5604
592185.625,4267864.500,10.8,4982
592186.250,4267864.500,10.6,4509
592186.938,4267864.500,10.6,4303
592187.625,4267864.500,10.6,5599
592188.250,4267864.500,10.8,4464
592188.938,4267864.500,10.9,6511
592189.563,4267864.500,10.6,6553
592190.250,4267864.500,10.3,5347
592190.250,4267864.500,10.7,6005
592190.938,4267864.500,10.7,5410
592191.563,4267864.500,10.8,5352
592192.250,4267864.500,10.7,5867
