Easting,Northing,Yield
592312.562,4267807.500,59280
592312.750,4267793.500,45120
592312.812,4267786.500,96000
592312.875,4267780.500,73920
592313.000,4267772.000,161520
592313.125,4267760.500,38160
592313.250,4267751.000,106800
592313.312,4267742.500,128640
592313.438,4267734.000,61680
592313.500,4267727.500,84240
592313.562,4267721.500,47520
592313.688,4267713.500,68880
592313.812,4267701.000,60000
592313.938,4267691.500,112560
592314.062,4267681.500,124560
592314.188,4267666.500,41760
592314.438,4267650.000,83760
592314.562,4267637.500,91920
592314.625,4267631.500,121200
592314.688,4267626.500,66720
592314.750,4267621.000,58080
592314.812,4267615.000,72480
592314.188,4267609.500,89520
592314.312,4267601.000,66720
592314.375,4267594.500,81360
592314.500,4267585.500,158160
592314.562,4267576.000,96000
592314.625,4267571.500,195120
592314.750,4267563.500,41040
592314.812,4267555.000,50640
592314.875,4267549.500,44400
592315.000,4267539.500,77520
592315.125,4267530.500,93120
592315.188,4267522.500,132240
592315.375,4267508.000,38880
592315.562,4267492.500,64320
592201.688,4267740.000,59760
592201.562,4267750.500,24480
592201.438,4267757.500,79680
592201.312,4267773.000,186240
592201.250,4267779.000,48000
592201.125,4267785.000,33360
592201.125,4267789.000,51120
592200.312,4267801.500,102720
592200.938,4267805.000,76080
592200.875,4267809.000,29040
592200.812,4267813.000,30960
592200.750,4267817.500,46080
592200.562,4267833.500,28800
592200.500,4267839.000,63600
592200.438,4267848.500,96000
592200.250,4267862.500,57360
592086.812,4267839.000,57840
592086.875,4267835.500,19680
592086.938,4267831.000,28560
592087.000,4267825.000,20880
592087.062,4267818.000,55920
592087.188,4267809.500,89520
592087.312,4267799.000,64800
592087.438,4267784.000,27360
592087.625,4267771.000,80640
592087.688,4267762.500,128880
592087.812,4267753.500,44640
592087.250,4267746.500,76320
592087.375,4267735.000,36720
592087.562,4267717.500,79440
592087.688,4267705.000,80880
592087.750,4267701.000,75840
592087.812,4267695.500,43680
592087.875,4267688.500,32880
592087.938,4267683.500,67440
592088.125,4267671.500,63840
592088.250,4267657.000,19200
592088.375,4267644.500,36240
592088.500,4267637.000,37200
592088.562,4267629.500,48720
592088.688,4267622.000,70320
592088.812,4267611.000,86880
592089.000,4267594.500,61920
592089.125,4267583.000,88800
592089.250,4267572.500,168960
592089.375,4267560.500,29040
592089.438,4267554.500,87120
592089.500,4267547.500,106080
592089.625,4267540.500,75600
592089.688,4267530.500,111840
592089.938,4267512.500,68880
592090.062,4267501.000,81120
592090.125,4267497.500,139200
592090.125,4267493.000,46320
592090.188,4267487.000,45120
592200.438,4267498.000,65280
592201.000,4267510.000,45360
592200.938,4267515.500,71280
592200.875,4267519.500,121440
592200.812,4267524.500,44160
592200.750,4267529.500,48000
592200.688,4267534.000,59760
592200.688,4267538.500,110400
592200.625,4267544.000,36240
592200.562,4267550.000,53520
592200.438,4267557.000,96720
592200.375,4267563.000,88320
592200.312,4267566.500,164400
592200.250,4267572.000,63600
592200.188,4267578.000,73680
592200.188,4267581.500,131040
592200.125,4267586.000,98160
592200.062,4267592.000,38880
592199.938,4267600.000,58560
592199.875,4267608.500,110640
592199.750,4267617.000,70800
592199.625,4267627.500,170880
592199.438,4267644.500,54480
592199.250,4267662.500,82080
592199.125,4267673.500,102000
592199.062,4267677.000,116400
592199.000,4267682.500,60480
592198.938,4267688.500,71040
592198.875,4267693.500,95760
592199.438,4267702.000,113040
592199.375,4267706.500,30480
592199.312,4267711.000,67200
592199.312,4267716.000,30960
592199.188,4267722.500,44160
592199.125,4267732.500,44640
592198.375,4267736.000,68400
592198.312,4267741.000,32880
592198.312,4267744.500,22080
592198.188,4267751.500,32400
592198.125,4267758.000,92400
592198.688,4267766.500,187920
592198.625,4267772.000,61920
592198.562,4267778.000,44160
592198.500,4267785.500,53760
592198.312,4267801.500,39600
592198.188,4267809.000,59760
592198.125,4267818.000,31920
592197.250,4267833.500,32640
592197.125,4267845.500,42480
592197.062,4267853.000,66720
592088.125,4267840.000,64080
592088.312,4267826.500,43440
592088.438,4267816.000,63840
592088.562,4267805.000,81600
592088.688,4267794.500,39840
592088.750,4267787.500,69120
592088.812,4267781.000,55200
592088.438,4267759.500,62160
592088.625,4267738.000,37920
592088.750,4267732.000,89040
592088.812,4267726.000,55920
592088.875,4267721.500,63120
592088.938,4267716.000,80880
592089.000,4267710.000,34320
592089.000,4267706.000,66720
592089.125,4267699.000,106320
592089.188,4267691.500,79440
592089.250,4267687.000,125520
592089.312,4267680.000,93360
592089.375,4267673.000,52800
592089.500,4267663.500,111120
592089.625,4267655.000,61920
592089.688,4267651.000,105360
592089.688,4267647.500,127440
592089.750,4267642.000,129360
592089.875,4267632.000,95040
592090.000,4267620.000,71280
592090.125,4267611.000,69120
592090.188,4267602.500,36240
592090.312,4267592.500,67920
592090.438,4267585.000,81120
592090.438,4267581.000,113520
592090.562,4267573.500,187680
592090.688,4267559.000,36000
592090.875,4267545.000,84960
592090.938,4267537.000,108480
592091.000,4267531.500,60240
592091.062,4267526.500,66000
592091.125,4267522.000,70560
592091.188,4267517.500,123360
592091.250,4267512.000,107760
592091.312,4267504.500,56400
592091.438,4267496.000,94080
592091.500,4267488.500,62400
592091.625,4267482.500,81840
592092.312,4267478.500,179280
592197.188,4267496.500,61680
592197.688,4267509.000,34800
592197.562,4267516.500,62640
592197.500,4267523.000,105120
592197.312,4267540.500,88800
592197.125,4267555.000,69360
592197.062,4267561.000,72240
592197.000,4267566.500,56160
592196.938,4267572.000,114240
592196.875,4267577.500,93840
592196.812,4267584.500,175920
592196.688,4267592.500,73440
592196.625,4267598.000,61440
592196.562,4267603.000,111840
592196.500,4267608.500,35280
