Easting,Northing,Yield,Moisture,Time
592084.5,4267867,1285,12,903529075
592084.5625,4267865.5,1655,9.9,903529077
592085.1875,4267864,1676,10.1,903529079
592085.25,4267862,1483,10.1,903529081
592085.25,4267860.5,1657,9.1,903529083
592085.25,4267858.5,1362,9.5,903529085
592085.3125,4267856,1620,9.3,903529087
592085.3125,4267854,2071,9.3,903529089
592085.375,4267852,2443,6.3,903529091
592085.375,4267850,2735,7,903529093
592085.375,4267848,2770,5.1,903529095
592085.4375,4267845.5,2284,5,903529097
592084.8125,4267843.5,2514,5,903529099
592084.8125,4267842.5,2203,5.1,903529101
592084.8125,4267840,2299,5.1,903529103
592085.5,4267837.5,2762,5.7,903529105
592085.5625,4267835,2693,6.1,903529107
592085.5625,4267833,2632,5.8,903529109
592085.625,4267831,2797,5.7,903529111
592085.625,4267829,2474,5.2,903529113
592085.625,4267826.5,2378,5,903529115
592085.6875,4267824.5,2842,5,903529117
592085.6875,4267822.5,2719,5,903529119
592085.6875,4267820.5,2719,5.4,903529121
592085.75,4267818,2893,5.6,903529123
592085.75,4267816,2876,5.6,903529125
592085.8125,4267814,2579,6.4,903529127
592085.8125,4267812,2614,6.8,903529129
592085.8125,4267809.5,2876,7,903529131
592085.875,4267807.5,2938,6.9,903529133
592085.875,4267805,3034,7.7,903529135
592085.9375,4267803.5,3068,7.9,903529137
592085.9375,4267801.5,2701,7.6,903529139
592085.9375,4267799,2632,8.1,903529141
592086,4267797,3095,8.4,903529143
592086,4267795,2999,8.6,903529145
592086.0625,4267793,3052,9.4,903529147
592086.0625,4267790.5,3000,8.4,903529149
592086.0625,4267788.5,2876,9,903529151
592086.125,4267786,2893,8.9,903529153
592086.125,4267784.5,2614,9.1,903529155
592086.125,4267782,2579,8.9,903529157
592086.1875,4267780,2623,7.8,903529159
592086.1875,4267778,2736,8.8,903529161
592086.25,4267775.5,2746,8.2,903529163
592086.25,4267773.5,2964,8.6,903529165
592086.25,4267771.5,2876,7.5,903529167
592086.3125,4267769.5,3025,7.2,903529169
592086.3125,4267767.5,3077,7.3,903529171
592086.375,4267765.5,2954,8,903529173
592086.375,4267763,3025,8.3,903529175
592086.375,4267761,2964,9,903529177
592086.4375,4267759,2684,8.4,903529179
592086.4375,4267757,2797,8.6,903529181
592086.5,4267754.5,2981,8.5,903529183
