Easting,Northing,Yield,Moisture,Time
592311.25,4267868,13355,5,936228183
592311.25,4267867.5,16587,5,936228185
592311.25,4267866,17429,5,936228187
592311.25,4267865,15531,16.8,936228189
592311.25,4267863.5,15269,16.8,936228191
592311.3125,4267861.5,13069,17.3,936228193
592311.3125,4267859.5,11535,17.1,936228195
592311.375,4267856.5,12116,16.7,936228197
592311.375,4267854,12317,17.2,936228199
592311.4375,4267851.5,13206,17,936228201
592311.4375,4267848.5,13924,16.6,936228203
592311.5,4267846,14522,17,936228205
592311.5,4267843.5,14859,16.3,936228207
592311.5625,4267841,14848,17,936228209
592311.5625,4267838.5,14767,17.2,936228211
592311.625,4267836,14831,16.6,936228213
592311.625,4267833,14951,16.1,936228215
592311.6875,4267830.5,15066,17.1,936228217
592311.6875,4267828,14796,16.9,936228219
592311.6875,4267825.5,14877,17.1,936228221
592311.75,4267822.5,14757,16.7,936228223
592311.8125,4267820,15058,17,936228225
592311.8125,4267818,14769,17.1,936228227
592311.8125,4267815.5,15290,17.4,936228229
592311.875,4267813,15053,17.3,936228231
592311.875,4267810,14797,17.4,936228233
592311.9375,4267807.5,13772,17.2,936228235
592311.9375,4267804.5,15453,17.2,936228237
592312,4267802,14856,17.4,936228239
592312,4267799,14740,17.4,936228241
592312.0625,4267796.5,14821,17.8,936228243
592312.0625,4267794,15029,17.5,936228245
592312.125,4267791.5,14960,17,936228247
592312.125,4267789,15372,16.9,936228249
592312.1875,4267786.5,14815,16.6,936228251
592312.1875,4267784,16050,17.5,936228253
592312.25,4267781.5,16009,17.5,936228255
592312.25,4267779,12236,17.8,936228257
592312.3125,4267776,13441,17.7,936228259
592312.3125,4267773.5,14120,17.8,936228261
592312.375,4267771,11564,17,936228263
592312.375,4267768.5,11209,17.3,936228265
592313.0625,4267767,25724,17.8,936228267
592313.0625,4267767,0,17.8,936228269
592313.6875,4267772,402,0,936477393
592313.6875,4267771,902,0,936477395
592313.6875,4267770,3264,16.9,936477397
592313.6875,4267768.5,9421,14.3,936477399
592313.75,4267766.5,15168,15.6,936477401
592313.75,4267764.5,16071,16.2,936477403
592313.125,4267762,12509,16,936477405
592313.8125,4267759.5,12528,16.5,936477407
592313.1875,4267757.5,14262,15.7,936477409
592313.1875,4267755,14711,15.7,936477411
592313.25,4267752,14848,16.1,936477413
592313.25,4267750,14951,16.2,936477415
592313.25,4267747.5,13671,16.3,936477417
592313.3125,4267745.5,14861,15.6,936477419
592313.3125,4267743.5,15953,15.5,936477421
592313.375,4267740.5,14790,15.1,936477423
592313.375,4267738.5,15279,16,936477425
592313.4375,4267736,15157,16,936477427
592313.4375,4267733.5,14205,16.3,936477429
592313.4375,4267731.5,15552,16.4,936477431
592313.5,4267729,15552,16.7,936477433
592313.5,4267727,15383,17.3,936477435
592313.5625,4267724.5,14314,16.2,936477437
592313.5625,4267722,15195,16.3,936477439
592313.625,4267719.5,14753,16,936477441
592313.625,4267717.5,14745,15.9,936477443
592313.6875,4267715,15721,15.7,936477445
592313.6875,4267713,15728,16.5,936477447
592313.6875,4267710.5,15066,16.7,936477449
592313.75,4267708,15644,16.3,936477451
592313.75,4267705.5,15058,16.1,936477453
592313.8125,4267703,16688,16.2,936477455
592313.8125,4267701,16010,16.2,936477457
592313.875,4267698.5,16074,16.1,936477459
592313.875,4267696.5,15124,16.5,936477461
592313.875,4267694,15721,15.7,936477463
592313.9375,4267691.5,14818,16,936477465
592313.9375,4267689.5,15161,16.4,936477467
592314,4267687,13686,16,936477469
592314,4267685,14655,16.1,936477471
592314,4267683,14227,16.5,936477473
592314.0625,4267680.5,14866,16.2,936477475
592314.0625,4267678,14129,16.5,936477477
592314.125,4267676,16102,16.4,936477479
592314.125,4267673.5,14754,16,936477481
592314.1875,4267671.5,16047,16,936477483
592314.1875,4267669,14908,16.2,936477485
592314.1875,4267666.5,15971,16.2,936477487
592314.25,4267664.5,14815,16.2,936477489
592314.25,4267662,17070,15.7,936477491
592314.3125,4267659.5,14428,16.5,936477493
592314.3125,4267657,16386,16.4,936477495
592314.375,4267654.5,14839,16.6,936477497
592314.375,4267652.5,16028,16,936477499
592314.4375,4267650,14624,15.8,936477501
592314.4375,4267647.5,15776,16,936477503
592313.8125,4267644.5,14922,16.5,936477505
592313.8125,4267642,13705,16,936477507
592313.875,4267639.5,13185,16.1,936477509
592313.875,4267637.5,14710,16,936477511
592313.9375,4267635,14636,16.8,936477513
592313.9375,4267632.5,16566,16,936477515
592313.9375,4267630.5,14457,16.2,936477517
592314,4267628,15499,16.1,936477519
