Longitude,Latitude,ECto30,ECto100,Easting,Northing
-121.934861,38.551157,30.1,66,592813.375,4267508
-121.934861,38.551158,24.1,-25,592813.375,4267508
-121.934861,38.55117,33.6,64.6,592813.375,4267509
-121.934861,38.551177,34.3,67,592813.375,4267510
-121.934861,38.551185,32.8,63.1,592813.375,4267511
-121.934861,38.55119,31,62.4,592813.375,4267511
-121.934861,38.551198,29.8,66.6,592813.375,4267512
-121.934861,38.551203,28.9,63.8,592813.313,4267513
-121.934861,38.551209,28.1,62,592813.313,4267513.5
-121.93486,38.55127,27.2,69.9,592813.25,4267520
-121.93486,38.551279,27.2,65.1,592813.25,4267521
-121.93486,38.551292,28.5,62.7,592813.25,4267522.5
-121.93486,38.5513,28.1,62.5,592813.188,4267523.5
-121.93486,38.551307,29.2,62.9,592813.188,4267524.5
-121.93486,38.551317,28.9,63.4,592813.188,4267525
-121.934859,38.551329,28.7,64.8,592813.188,4267527
-121.934859,38.551338,28,66.9,592813.188,4267527.5
-121.934859,38.551353,27.7,65.5,592813.125,4267529.5
-121.934859,38.551416,27.3,67.3,592813.063,4267536
-121.934859,38.551436,26.8,66.1,592813.063,4267538.5
-121.934859,38.551444,26,68.8,592813,4267539.5
-121.934859,38.551455,25.7,73.9,592813,4267541
-121.934859,38.551469,27.2,73.2,592813,4267542
-121.934859,38.551476,28,75.2,592813,4267543
-121.934858,38.551485,26.6,79,592813,4267544
-121.934858,38.551499,25,65.3,592812.938,4267545.5
-121.934858,38.551512,24.3,73.7,592812.938,4267547
-121.934858,38.551521,25.8,72.6,592812.938,4267548
-121.934858,38.551533,25.5,64.5,592812.938,4267549.5
-121.934857,38.551544,24.7,63,592812.875,4267550.5
-121.934857,38.551553,24.1,54.9,592812.875,4267551.5
-121.934857,38.551567,24.6,58.1,592812.875,4267553
-121.934857,38.551584,25.4,59.8,592812.875,4267555
-121.934857,38.551604,23.9,62,592812.813,4267557.5
-121.934858,38.551624,25.7,63.1,592812.813,4267559.5
-121.934857,38.551678,26.5,63.5,592812.75,4267565.5
-121.934856,38.551696,27.1,66.7,592813.375,4267567.5
-121.934856,38.551711,26.4,67.2,592813.375,4267569
-121.934856,38.551719,26.4,66.6,592813.313,4267570
-121.934856,38.551727,27.4,66.6,592813.313,4267571
-121.934856,38.551735,28.4,64.1,592813.313,4267571.5
-121.934856,38.551745,25.5,56.7,592813.313,4267573
-121.934856,38.55176,24.5,56.7,592813.313,4267574.5
-121.934856,38.55177,24.7,59.2,592813.25,4267575.5
-121.934856,38.551782,24.8,66.3,592813.25,4267577
-121.934856,38.551803,24.9,56.1,592813.25,4267579.5
-121.943043,38.554474,40.7,62,592095.813,4267867.5
-121.943038,38.554474,40,61.1,592096.5,4267867.5
-121.943029,38.554474,36.6,59.6,592097.125,4267867.5
-121.943017,38.554474,31.3,55.9,592098.5,4267867.5
-121.943009,38.554474,27.3,58,592099.125,4267867.5
-121.943002,38.554474,27.1,57.9,592099.813,4267867.5
-121.942994,38.554474,25.6,50.2,592100.438,4267867.5
-121.942988,38.554474,23.2,46.9,592101.125,4267867.5
-121.942802,38.554475,29.8,46.3,592117.063,4267867.5
-121.942787,38.554475,30.8,47.5,592118.438,4267867.5
-121.942777,38.554476,33.4,48.8,592119.063,4267868
-121.942769,38.554476,34,50,592119.75,4267868
-121.942758,38.554476,32.1,50,592121.063,4267868
-121.942745,38.554476,31.9,50.4,592122.375,4267868
-121.942737,38.554477,29.1,48.7,592123.063,4267868
-121.942727,38.554477,19.5,-31,592123.75,4267868
-121.942711,38.554477,20.9,-29,592125.063,4267868
-121.942652,38.554479,27.9,54.2,592130.375,4267868
-121.942642,38.554479,27.2,51.4,592131.063,4267868.5
-121.94263,38.554479,24.9,48.3,592132.375,4267868.5
-121.942616,38.55448,25.8,46.3,592133.063,4267868.5
-121.942599,38.55448,27.5,45.6,592135,4267868.5
-121.942586,38.55448,29.7,46.1,592135.688,4267868.5
-121.942576,38.55448,30.6,47,592137,4267868.5
-121.942564,38.55448,26.8,44.4,592137.688,4267869
-121.942554,38.55448,26.8,45.7,592139,4267869
-121.942542,38.55448,30.1,46,592139.688,4267869
-121.942521,38.55448,31.6,47,592141.688,4267869
-121.942503,38.55448,26.9,46.2,592143,4267869
-121.942493,38.55448,26.2,46.5,592144.313,4267869
-121.942482,38.55448,27.8,46.4,592145,4267869
-121.942464,38.55448,26.9,47.4,592146.313,4267869
-121.942446,38.55448,31,49.9,592148.313,4267869
-121.942434,38.554481,30,49.3,592149,4267869
-121.942416,38.554482,29.3,47.8,592151,4267869
-121.942392,38.554482,28.3,45.1,592153,4267869
-121.942374,38.554482,27.4,45.8,592154.313,4267869
-121.94235,38.554482,25.5,45.4,592156.313,4267869
-121.942332,38.554482,25,43.7,592158.313,4267869
-121.942323,38.554482,25.5,43,592158.938,4267869
-121.942314,38.554482,24.5,43.9,592159.625,4267869
-121.942305,38.554482,24.5,43.1,592160.313,4267869
-121.942273,38.554481,26.5,43.5,592162.938,4267869
-121.942137,38.55448,24,43.9,592174.938,4267869
-121.942117,38.55448,22.9,41.5,592176.938,4267869
-121.942096,38.554479,24.3,44.1,592178.938,4267869
-121.942081,38.554479,26.3,45.7,592180.25,4267869
-121.942069,38.554479,27.5,48,592180.875,4267869
-121.942053,38.554479,27.6,47.5,592182.25,4267869
-121.942042,38.554479,27.6,51,592183.563,4267869
-121.942027,38.554479,28,48.6,592184.875,4267869
-121.942001,38.554478,28.2,48,592186.875,4267869
-121.941972,38.554477,27.3,48.8,592189.563,4267869
-121.941938,38.554476,26.6,49.6,592192.188,4267869
-121.941908,38.554475,27.6,49,592194.875,4267868.5
-121.941892,38.554475,27.6,51.3,592196.188,4267868.5
-121.941881,38.554475,29,52.8,592197.5,4267868.5
-121.941865,38.554475,27.1,53.3,592198.875,4267868.5
-121.941853,38.554475,25.6,51.5,592199.5,4267868.5
-121.941836,38.554476,28.4,50.7,592201.5,4267869
-121.9418,38.554476,29.8,53,592204.188,4267869
-121.941701,38.554474,27.8,49.6,592212.813,4267869
-121.941688,38.554474,30.5,54,592214.125,4267869
-121.941675,38.554474,30.4,54,592215.5,4267869
-121.941658,38.554473,29.2,53,592216.813,4267869
-121.941591,38.554474,32.5,53.8,592222.813,4267869
-121.941564,38.554474,32.6,56.2,592224.813,4267869
-121.941529,38.554473,35,56,592228.125,4267869
-121.941362,38.554473,30.7,53,592242.75,4267869
-121.94134,38.554473,31.8,54.3,592244.75,4267869
-121.941327,38.554474,30.6,53.4,592245.375,4267869
-121.941313,38.554474,31.5,52.7,592246.75,4267869
-121.9413,38.554475,30.2,57.3,592248.063,4267869
-121.941292,38.554475,29.7,55.5,592248.688,4267869
-121.941285,38.554476,28.1,53,592249.375,4267869.5
-121.941269,38.554476,26.7,48.2,592250.688,4267869.5
-121.940963,38.554474,29.3,56.7,592277.313,4267869.5
-121.940951,38.554473,29.2,56.7,592278.625,4267869.5
-121.940944,38.554472,29.3,56.7,592279.313,4267869.5
-121.940934,38.554473,32.5,57.6,592279.938,4267869.5
-121.940928,38.554473,33.1,57.9,592280.625,4267869.5
-121.94082,38.55447,30.1,50.2,592289.938,4267869
-121.940809,38.554469,30.2,54.9,592290.625,4267869
-121.940744,38.554468,31.3,55.6,592296.563,4267869
-121.94073,38.554467,28.2,53,592297.938,4267869
-121.940719,38.554467,27.1,52,592298.563,4267869
-121.940665,38.554466,28.1,50.9,592303.25,4267869
-121.940647,38.554466,29.7,54.3,592305.25,4267869
-121.940626,38.554466,29.6,49.6,592306.563,4267869
-121.940605,38.554466,29.2,53.1,592308.563,4267869
-121.940591,38.554467,29.4,52.4,592309.875,4267869
-121.940581,38.554467,21.6,35.7,592310.563,4267869
-121.94053,38.554466,29,58,592315.188,4267869
-121.940443,38.554464,30.7,57,592322.5,4267869
-121.940442,38.554464,30.7,57.1,592322.5,4267869
-121.940443,38.554464,30.8,57.2,592322.5,4267869
-121.940443,38.554464,34.6,46.6,592322.5,4267869
-121.940307,38.55446,27.1,-25,592334.5,4267868.5
-121.940298,38.55446,25.7,-25,592335.188,4267868.5
-121.940244,38.554459,32.3,57.1,592339.813,4267868.5
-121.940231,38.554458,32.2,58.9,592341.125,4267868.5
-121.94022,38.554458,30.1,58.2,592341.813,4267868.5
