Date,JulianDay,CIMIS_Eto_mm,Precip_mm,SolRad_W.sq.m,AvgVap_kPa,MaxAirTemp_C,MinAirTemp_C,AvgAirTemp_C,MaxRelHum,MinRelHum,AvgRelHum,DewPt_C,AvgwSpd_m.s,WndRun_Km,AvgSoilTemp_C
10/2/1995,275,5.87,0,206,0.9,32.3,14.7,23.6,52,19,30,4.9,3.4,290,19.8
10/3/1995,276,4.56,0,201,1,32.4,9.9,21.7,75,21,40,7.4,2.1,178,19.8
10/4/1995,277,10.56,0,205,0.5,27.1,16,21.7,36,13,20,-2,9.9,851,18.8
10/5/1995,278,5.39,0,195,0.6,29.3,12.3,20.9,48,18,25,0.3,3.2,277.5,19.7
10/6/1995,279,3.91,0,192,0.8,28.2,6.5,17.3,74,14,40,3.7,1.8,156.2,20.3
10/7/1995,280,3.74,0,192,0.9,28,7.8,17,86,21,48,6,1.8,158.8,19.5
10/8/1995,281,3.26,0,188,1.1,27.5,6.1,16.5,92,29,58,8.2,1.3,113.5,19.1
10/9/1995,282,3.29,0,186,1,28.7,7.7,17.5,87,24,52,7.6,1.3,110.4,19.1
10/10/1995,283,3.53,0,185,1.1,29.3,8.8,19,81,24,50,8.5,1.5,126.8,19.2
10/11/1995,284,4.11,0,182,1.3,27.7,13.5,20,88,37,56,11,3.5,299.8,19.5
10/12/1995,285,6.97,0,185,0.7,24.9,11.5,18.9,57,20,31,1.3,6.6,570.8,18.6
10/13/1995,286,5.38,0,186,0.7,28.6,12.3,20,48,16,28,0.9,3.7,321.1,18.9
10/14/1995,287,3.95,0,183,0.8,31.4,10,19.6,70,18,36,4.1,1.7,146.4,19
10/15/1995,288,3.13,0,174,1.3,25.4,8,16.8,87,43,66,10.4,2.2,193.5,18.7
10/16/1995,289,2.71,0,172,1.3,23.3,7.5,15.5,92,48,72,10.4,1.9,168.1,18.4
10/17/1995,290,3.11,0,173,1.2,27.2,7.6,17.4,94,36,59,9.1,1.5,127,18.2
10/18/1995,291,4.48,0,169,1.1,30.8,11.4,20,78,24,46,8,3.1,264.6,18.2
10/19/1995,292,3.77,0,173,0.9,31.4,11.9,19.8,65,22,38,5,1.9,160.9,17.9
10/20/1995,293,2.75,0,155,1.2,28.8,8.8,17.9,82,32,58,9.5,1.5,129.5,18.2
10/21/1995,294,5.83,0,168,0.8,25.4,8.7,17.7,89,12,40,3.9,5.4,464.1,18
10/22/1995,295,7.41,0,161,0.5,22.7,12.5,17.1,38,16,24,-3.4,8.4,721.4,16.4
10/23/1995,296,3,0,153,0.6,24.1,8.1,15.3,57,23,37,0.6,1.7,149,16.3
10/24/1995,297,2.75,0,156,0.7,24.5,4.7,13.7,81,20,43,1.3,1.5,132.5,16
10/25/1995,298,2.24,0,154,1,22.9,3.3,12.7,88,41,65,6.4,1.4,119.3,15.8
10/26/1995,299,2.46,0,149,1,26.9,7.9,16.2,83,30,54,7,1.2,105.5,16.2
10/27/1995,300,2.3,0,122,1.1,25.2,7.7,16.6,74,35,56,7.8,1.6,141.1,16.4
10/28/1995,301,1.68,0,114,1.2,24.7,7.9,15.7,86,45,65,9.2,1.1,92.2,16.4
10/29/1995,302,2.22,0,138,1.2,25.9,7.7,15.6,90,44,68,9.7,1.5,132.3,16.5
10/30/1995,303,2.06,0,135,1.2,22.6,6.7,13.8,98,52,77,9.9,2,174.3,16.5
10/31/1995,304,1.34,0,91,1.3,18.6,10.2,14,97,65,80,10.7,2.5,217.2,16.5
11/1/1995,305,1.87,0,126,1.3,21.1,8.1,14,100,57,83,11.1,2,170.2,16.5
11/2/1995,306,1.57,0,117,1.2,19.8,5.7,12.4,100,60,82,9.4,1.3,115.9,16.2
11/3/1995,307,2.97,0,132,0.7,23.5,6.1,13.4,98,19,48,2.7,2.3,195.4,15.7
11/4/1995,308,2.47,0,133,0.6,23.5,2.8,13.1,66,15,37,-1.1,1.3,111.9,15.1
11/5/1995,309,2.05,0,121,0.9,21.6,2.3,12.2,91,38,64,5.5,1.8,154.7,15.1
11/6/1995,310,2.05,0,127,1,22.2,5,12.8,95,39,66,6.6,1.8,153.2,15
11/7/1995,311,2.2,0,124,0.9,24.3,6.4,14.9,79,32,54,5.6,1.4,117.5,15
11/8/1995,312,2.11,0,107,1.2,24.7,6.5,15.9,85,43,65,9.4,2.1,183.6,15.3
11/9/1995,313,2.07,0,121,1.4,21.1,9.7,15.7,90,61,78,11.8,2.9,254.8,17.1
11/10/1995,314,3.03,0,122,0.9,22.4,7.9,14,95,28,53,4.7,3.1,265,17.2
11/11/1995,315,2.08,0,126,0.9,23,5.3,14.2,86,34,55,5.2,1.2,102.1,16.2
11/12/1995,316,1.98,0,117,1,25.8,6.8,15.9,76,37,57,7.3,1.3,115,16.3
11/13/1995,317,2.17,0,122,1.1,26.2,7.6,16.7,81,40,59,8.6,1.4,117.4,16.3
11/14/1995,318,1.74,0,114,1.2,26,6.8,15.6,85,42,66,9.2,0.9,81.2,16.3
11/15/1995,319,1.61,0,116,1.3,24.2,7.6,15,96,48,75,10.6,1.2,100,16.3
11/16/1995,320,1.68,0,117,1.3,24.3,8.3,15.2,98,51,74,10.6,1.2,105.3,16.3
11/17/1995,321,1.64,0,110,1.4,23.1,7.1,14.8,97,57,80,11.4,1.8,159.1,16.2
11/18/1995,322,1.54,0,98,1.4,21.9,10.1,15.6,97,56,80,12.1,1.8,152.9,16.4
11/19/1995,323,1.81,0,112,1.1,21.5,6.8,13.5,94,49,70,8.1,1.6,136.9,15.8
11/20/1995,324,1.5,0,98,1.1,21.7,6.7,13.6,83,51,69,8.1,1.5,125.5,15.3
11/21/1995,325,0.78,0,55,1.3,19,8.7,13.9,93,69,81,10.6,2.3,203,15.4
11/22/1995,326,1.39,0,98,1.1,21,5.7,13.2,99,51,75,8.9,1.5,129.1,15.2
11/23/1995,327,1.54,0,112,1.1,22.5,4.7,12.7,95,46,72,7.8,1,89.3,14.9
11/24/1995,328,1.38,0,99,1.1,20.1,5.6,11.9,92,52,76,7.7,1.2,103.2,14.7
11/25/1995,329,2.1,0,99,1.2,25.4,5.5,14.5,99,52,76,10.3,3.2,273.4,14.7
11/26/1995,330,3.08,0,116,0.7,18.8,5.6,12.9,82,26,49,2.5,4.4,383.6,14.6
11/27/1995,331,4.58,0,108,0.6,20.4,7.2,14.1,47,18,36,-0.9,6.4,550.5,13.9
11/28/1995,332,1.77,0,98,0.7,20.6,3.7,11.3,74,37,56,2.8,1.5,126.1,13.5
11/29/1995,333,1.61,0,102,0.9,20.1,3.3,11.9,82,43,62,4.9,1.5,131.5,13.5
11/30/1995,334,1.3,0,101,1.1,22,3.9,12.8,97,51,75,8.5,1.4,121.2,13.8
12/1/1995,335,1.2,0,76,1.5,21.5,8.8,15,100,61,86,12.7,2.7,236.2,14.3
12/2/1995,336,1.48,0,100,0.9,16.8,4.3,9.8,98,49,74,5.4,1.8,155.2,14
12/3/1995,337,0.85,0,47,1,15.6,4.5,10.6,90,55,77,6.8,2.2,192.5,13.2
12/4/1995,338,0.13,0,20,1.5,16.6,12,13.9,100,83,94,13,3.2,275.1,13.9
12/5/1995,339,1.37,0,85,1.5,21.5,10.7,15.6,100,63,86,13.3,2.7,231.1,14.6
12/6/1995,340,0.32,2,43,1.4,15.8,8.2,12.5,100,90,98,12.2,1.6,134.1,14.5
12/7/1995,341,0.52,1,52,1.4,15.9,6.6,12.5,100,87,98,12.1,2,173,14.8
12/8/1995,342,0.42,0,55,1.2,15.5,5.4,9.5,100,82,99,9.4,1.1,96.5,14
12/9/1995,343,0,0,14,1.3,12.2,8.8,10.7,100,93,98,10.5,1.8,151.4,14
12/10/1995,344,0.12,1,24,1.3,13.5,10.4,11.5,100,85,95,10.7,2.7,235.2,14.1
12/11/1995,345,0.02,29,12,1.4,13,11,12.2,100,92,98,11.9,6.2,535.8,13.6
12/12/1995,346,0.88,57,44,1.4,17.8,11.4,14.1,97,73,88,12.1,7.3,627.3,13.4
12/13/1995,347,0.27,9,34,1.3,14.8,6.7,11.1,100,84,96,10.5,2.5,213.4,13.4
12/14/1995,348,0.86,0,80,1.1,13.9,3.7,9.1,100,80,94,8.2,3.1,266.9,12.7
12/15/1995,349,0.8,9,65,1.2,16,6.5,10.9,97,69,89,9.1,4,347.4,12.7
12/16/1995,350,1.76,0,89,0.8,13.4,4.5,9,98,60,73,4.4,4.8,418.6,12.1
12/17/1995,351,0.8,0,76,0.9,11.8,2.5,7.3,97,65,86,5.1,1.7,144.5,11.6
12/18/1995,352,0.13,1,27,1,9.7,6.5,8.1,100,89,95,7.4,2.4,203,11.6
12/19/1995,353,1.08,0,98,1,15.8,5.6,9.6,98,61,85,7.1,1.7,143,11.7
12/20/1995,354,0.84,0,92,0.9,10.2,1.4,5.7,100,79,96,5.1,1.3,113.3,11.3
12/21/1995,355,0.32,1,48,0.9,9.6,1.9,4.9,100,89,100,4.9,1.4,117.8,10.8
12/22/1995,356,0.08,1,22,1,8.1,4.1,6.5,100,95,99,6.4,3.8,330.2,10.7
12/23/1995,357,1.05,0,89,0.9,13.3,4.3,7.6,100,63,87,5.6,2.9,249,10.8
12/24/1995,358,1.01,0,86,0.9,12.2,3.1,6.7,100,67,88,4.9,2.6,227.4,10.3
12/25/1995,359,1.3,0,102,0.8,14.6,2.5,7.4,95,50,76,3.5,1.9,167.1,10.1
12/26/1995,360,1.23,0,93,0.8,14.1,2,7.4,95,56,82,4.5,1.8,152.6,9.9
12/27/1995,361,0.85,0,77,1.1,14.2,4.2,9.2,100,70,90,7.7,1.7,144.9,10.2
12/28/1995,362,0.42,0,47,1,11.1,4.6,8,100,87,95,7.2,1.9,168.4,10.6
12/29/1995,363,0,10,10,1.2,10.6,8,9.6,100,97,100,9.5,4.2,360.3,10.8
12/30/1995,364,0,0,16,1.4,13.4,10.5,11.8,100,100,100,11.8,2.5,217.1,11.3
12/31/1995,365,0.52,1,49,1.4,14.6,10.5,12.1,100,74,97,11.5,4.1,350.6,11.9
1/1/1996,1,2.4,0,105,1,18.5,10.2,13.8,82,55,64,7.1,5,435.5,11.9
